Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Offender_Number,Person_Type,Victim_Race,Victim_Gender,Victim_Age,Victim_Number,Victim_Fatal_Status,Hate_Crime,Report_Type,address,GNOCDC_LAB,pop
D-27167-18,1,20XX Canal St,OPEN,24K,MEDICAL SEXUAL ASSAULT KIT PROCESSING,4/23/2018 10:45,NA,NA,NA,NA,NA,NA,VICTIM,UNKNOWN,NA,NA,1,Non-fatal,NA,Incident Report,"2000 Canal St., New Orleans, LA",TULANE - GRAVIER,17445
H-34038-18,8,7XX Bourbon St,OPEN,21P,LOST PROPERTY,8/26/2018 0:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,44,1,Non-fatal,NA,Incident Report,"700 Bourbon St., New Orleans, LA",FRENCH QUARTER,15172
B-09903-18,5,17XX Deslonde St,OPEN,21,MISCELLANEOUS INCIDENT,2/9/2018 8:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,35,1,Non-fatal,NA,Incident Report,"1700 Deslonde St., New Orleans, LA",LOWER NINTH WARD,9228
G-29681-18,2,54XX S Claiborne Av,CLOSED,21M,MISSING ADULT,7/21/2018 21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-fatal,NA,Supplemental Report,"5400 S Claiborne Av., New Orleans, LA",AUDUBON,37946
F-17639-18,4,36XX Rue Denise St,OPEN,56,SIMPLE CRIMINAL DAMAGE,6/15/2018 0:09,NA,NA,NA,NA,NA,NA,INTERVIEW,WHITE,FEMALE,45,1,Non-fatal,NA,Supplemental Report,"3600 Rue Denise St., New Orleans, LA",OLD AURORA,40130
H-11061-18,2,27XX Peniston St,OPEN,103,DISTURBANCE,8/9/2018 15:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,33,1,Non-fatal,NA,Incident Report,"2700 Peniston St., New Orleans, LA",MILAN,21588
E-37765-18,7,75XX Devine Av,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),5/30/2018 12:40,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,FEMALE,18,1,VICTIM,BLACK,MALE,39,1,Non-fatal,NA,Incident Report,"7500 Devine Av., New Orleans, LA",LITTLE WOODS,44947
D-21497-18,8,Poydras & Convention Center,CLOSED,18,TRAFFIC INCIDENT,4/19/2018 5:09,14 108,RESISTING AN OFFICER,BLACK,MALE,25,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"Poydras & Convention Center., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
B-16336-18,8,4XX Bourbon St,CLOSED,966,DRUG LAW VIOLATION,2/13/2018 21:50,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),HISPANIC,FEMALE,31,2,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"400 Bourbon St., New Orleans, LA",FRENCH QUARTER,15172
F-19201-18,8,O'Keefe Av & Perdido St,CLOSED,37D,AGGRAVATED ASSAULT (DOMESTIC),6/16/2018 12:40,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,35,1,VICTIM,BLACK,FEMALE,32,1,Non-fatal,NA,Supplemental Report,"O'Keefe Av & Perdido St., New Orleans, LA",NA,NA
B-17658-18,4,16XX Jo Ann Pl,CLOSED,21,MISCELLANEOUS INCIDENT,2/14/2018 9:00,NA,NA,NA,NA,NA,NA,VICTIM,BLACK,FEMALE,39,1,Non-fatal,NA,Incident Report,"1600 Jo Ann Pl., New Orleans, LA",BEHRMAN,25562
J-33573-18,4,19XX Jo Ann Pl,CLOSED,21,MISCELLANEOUS INCIDENT,10/27/2018 5:20,NA,NA,NA,NA,NA,NA,VICTIM,NA,NA,NA,1,Non-fatal,NA,Supplemental Report,"1900 Jo Ann Pl., New Orleans, LA",BEHRMAN,25562
C-22556-18,4,18XX Jo Ann Pl,OPEN,21,MISCELLANEOUS INCIDENT,3/18/2018 11:20,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,30,1,Non-fatal,NA,Incident Report,"1800 Jo Ann Pl., New Orleans, LA",BEHRMAN,25562
A-17996-18,5,61XX Urquhart St,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/16/2018 2:07,NA,NA,BLACK,MALE,20,1,WITNESS,BLACK,MALE,30,2,Non-fatal,NA,Incident Report,"6100 Urquhart St., New Orleans, LA",LOWER NINTH WARD,9228
F-35957-18,2,13XX S Carrollton Av,OPEN,103,DISTURBANCE,6/29/2018 15:15,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,57,2,Non-fatal,NA,Incident Report,"1300 S Carrollton Av., New Orleans, LA",LEONIDAS,21271
H-29202-18,3,47XX Mandeville St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),8/23/2018 1:30,14 62,SIMPLE BURGLARY,UNKNOWN,NA,NA,1,VICTIM,WHITE,FEMALE,36,1,Non-fatal,NA,Supplemental Report,"4700 Mandeville St., New Orleans, LA",GENTILLY TERRACE,23183
D-36413-18,1,27XX Tulane Av,OPEN,21,MISCELLANEOUS INCIDENT,4/30/2018 15:00,NA,NA,NA,NA,NA,NA,WITNESS,NA,NA,NA,2,Non-fatal,NA,Incident Report,"2700 Tulane Av., New Orleans, LA",MID-CITY,29937
A-05909-18,8,Orleans Av & Bourbon St,OPEN,67F,THEFT BY FRAUD,1/4/2018 3:30,14 67,THEFT,BLACK,FEMALE,NA,1,VICTIM,WHITE,MALE,29,1,Non-fatal,NA,Incident Report,"Orleans Av & Bourbon St., New Orleans, LA",CITY PARK,24140
A-19143-18,7,78XX Sail St,OPEN,103D,DISTURBANCE (DOMESTIC),1/17/2018 2:19,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,32,1,Non-fatal,NA,Incident Report,"7800 Sail St., New Orleans, LA",LITTLE WOODS,44947
F-13329-18,7,51XX Toulon St,OPEN,103D,DISTURBANCE (DOMESTIC),6/11/2018 18:17,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,NA,2,Non-fatal,NA,Incident Report,"5100 Toulon St., New Orleans, LA",VILLAGE DE LEST,25445
H-36082-18,4,17XX Hendee St,OPEN,38D,SIMPLE ASSAULT (DOMESTIC),8/28/2018 9:27,NA,NA,BLACK,MALE,NA,1,INTERVIEW,BLACK,FEMALE,78,2,Non-fatal,NA,Incident Report,"1700 Hendee St., New Orleans, LA",FISCHER DEV,9467
K-04631-18,6,Magnolia St & Josephine St,CLOSED,34C,AGGRAVATED BATTERY (CUTTING),11/4/2018 13:46,14 34.7,AGG. SECOND DEGREE BATTERY,BLACK,FEMALE,36,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Supplemental Report,"Magnolia St & Josephine St., New Orleans, LA",NA,NA
G-13596-18,3,30XX Elysian Fields Av,OPEN,67F,THEFT BY FRAUD,7/11/2018 8:17,54 186,THEFT,BLACK,MALE,36,1,VICTIM,WHITE,MALE,48,1,Non-fatal,NA,Incident Report,"3000 Elysian Fields Av., New Orleans, LA",ST. ROCH,32067
G-14797-18,8,2XX Bour St,CLOSED,17F,FUGITIVE ATTACHMENT,7/12/2018 12:30,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,37,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"200 Bour St., New Orleans, LA",WEST RIVERSIDE,15349
C-10715-18,7,Camelia St & Dwyer Rd,OPEN,103,DISTURBANCE,3/9/2018 14:37,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,16,2,Non-fatal,NA,Incident Report,"Camelia St & Dwyer Rd., New Orleans, LA",NA,NA
D-22410-18,1,12XX Governor Nicholls St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),4/18/2018 11:00,14 62,SIMPLE BURGLARY,NA,NA,NA,1,VICTIM,WHITE,MALE,27,1,Non-fatal,NA,Incident Report,"1200 Governor Nicholls St., New Orleans, LA",TREME - LAFITTE,18492
D-25813-18,8,Esplanade Av & N Rampart St,OPEN,67,THEFT,4/22/2018 2:45,14 67,THEFT,UNKNOWN,MALE,NA,1,VICTIM,WHITE,MALE,28,1,Non-fatal,NA,Incident Report,"Esplanade Av & N Rampart St., New Orleans, LA",TREME - LAFITTE,18492
C-13301-18,4,38XX Texas Dr,OPEN,103,DISTURBANCE,3/11/2018 18:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,30,1,Non-fatal,NA,Incident Report,"3800 Texas Dr., New Orleans, LA",TALL TIMBERS - BRECHTEL,35314
C-31902-18,7,80XX Trapier St 5,OPEN,21J,MISSING/RUNAWAY JUVENILE,3/25/2018 23:00,NA,NA,NA,NA,NA,NA,VICTIM,BLACK,FEMALE,17,1,Non-fatal,NA,Incident Report,"8000 Trapier St 5., New Orleans, LA",LITTLE WOODS,44947
B-19932-18,7,62XX Chef Menteur Hw,CLOSED,103F,DISTURBANCE (FIGHT),2/16/2018 20:00,NA,NA,BLACK,FEMALE,25,2,VICTIM,BLACK,FEMALE,25,2,Non-fatal,NA,Incident Report,"6200 Chef Menteur Hw., New Orleans, LA",VIAVANT - VENETIAN ISLES,26085
G-16001-18,7,Chef Menteur Hw & Dale St,CLOSED,966,DRUG LAW VIOLATION,7/13/2018 11:00,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,44,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"Chef Menteur Hw & Dale St., New Orleans, LA",LAKE CATHERINE,2564
G-05914-18,4,48XX Ken Ct,OPEN,35,SIMPLE BATTERY,7/5/2018 21:00,NA,NA,BLACK,MALE,NA,1,WITNESS,BLACK,MALE,20,2,Non-fatal,NA,Incident Report,"4800 Ken Ct., New Orleans, LA",OLD AURORA,40130
L-28323-18,2,83XX Nelson St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),12/21/2018 3:00,14 35.3,DOMESTIC ABUSE BATTERY,WHITE,MALE,37,1,VICTIM,WHITE,FEMALE,34,1,Non-fatal,NA,Incident Report,"8300 Nelson St., New Orleans, LA",LEONIDAS,21271
A-16721-18,5,21XX Saint Roch Av,OPEN,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),1/14/2018 22:20,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,31,1,VICTIM,BLACK,MALE,31,1,Non-fatal,NA,Incident Report,"2100 Saint Roch Av., New Orleans, LA",ST. ROCH,32067
D-04093-18,5,20XX Franklin Av,OPEN,62C,SIMPLE BURGLARY (VEHICLE),4/3/2018 20:45,NA,NA,NA,NA,NA,1,VICTIM,BLACK,FEMALE,40,1,Non-fatal,NA,Incident Report,"2000 Franklin Av., New Orleans, LA",ST. ROCH,32067
F-06021-18,5,14XX Pauline St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),6/5/2018 20:28,14 35,SIMPLE BATTERY,BLACK,FEMALE,NA,1,VICTIM,BLACK,FEMALE,28,1,Non-fatal,NA,Incident Report,"1400 Pauline St., New Orleans, LA",ST. CLAUDE,18616
J-31654-18,3,21XX Caton St,OPEN,67S,SHOPLIFTING,10/25/2018 20:13,14 67,THEFT,NA,NA,NA,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"2100 Caton St., New Orleans, LA",DILLARD,14753
L-18151-18,7,57XX Crowder Bd,OPEN,67S,SHOPLIFTING,12/14/2018 15:03,NA,NA,BLACK,MALE,NA,1,REPORTING PERSON,BLACK,FEMALE,25,2,Non-fatal,NA,Incident Report,"5700 Crowder Bd., New Orleans, LA",WEST LAKE FOREST,25071
H-27993-18,8,5XX Bourbon St,OPEN,21P,LOST PROPERTY,8/12/2018 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-fatal,NA,Supplemental Report,"500 Bourbon St., New Orleans, LA",FRENCH QUARTER,15172
F-31030-18,8,5XX Gravier St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),6/26/2018 1:15,14 62,SIMPLE BURGLARY,NA,NA,NA,1,VICTIM,ASIAN,MALE,25,1,Non-fatal,NA,Incident Report,"500 Gravier St., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
B-32075-18,5,38XX Saint Claude Av,OPEN,103,DISTURBANCE,2/26/2018 18:05,14 40.1,TERRORIZING,UNKNOWN,NA,NA,1,VICTIM,UNKNOWN,NA,NA,1,Non-fatal,NA,Incident Report,"3800 Saint Claude Av., New Orleans, LA",ST. CLAUDE,18616
C-13949-18,5,16XX Tennessee St,OPEN,103,DISTURBANCE,3/12/2018 8:58,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,63,1,Non-fatal,NA,Incident Report,"1600 Tennessee St., New Orleans, LA",LOWER NINTH WARD,9228
F-27751-18,5,62XX Urquhart St,OPEN,67,THEFT,6/22/2018 14:30,NA,NA,NA,NA,NA,1,REPORTING PERSON,BLACK,MALE,59,2,Non-fatal,NA,Incident Report,"6200 Urquhart St., New Orleans, LA",LOWER NINTH WARD,9228
E-11629-18,2,26XX Hamilton St,OPEN,103D,DISTURBANCE (DOMESTIC),5/9/2018 21:48,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,47,1,Non-fatal,NA,Incident Report,"2600 Hamilton St., New Orleans, LA",HOLLYGROVE,11723
D-06573-18,7,85XX Chef Menteur Hw,CLOSED,35,SIMPLE BATTERY,3/30/2018 12:00,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,39,3,Non-fatal,NA,Incident Report,"8500 Chef Menteur Hw., New Orleans, LA",VIAVANT - VENETIAN ISLES,26085
A-11984-18,7,77XX Dorsett Dr,OPEN,103D,DISTURBANCE (DOMESTIC),1/10/2018 23:00,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,30,2,Non-fatal,NA,Incident Report,"7700 Dorsett Dr., New Orleans, LA",LITTLE WOODS,44947
I-22270-18,1,16XX N Villere St,CLOSED,966,DRUG LAW VIOLATION,9/18/2018 13:00,102 113,DRUG PARAPHERNALIA,BLACK,FEMALE,41,2,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"1600 N Villere St., New Orleans, LA",SEVENTH WARD,23878
G-03740-18,2,S Dupre St & Eden St,OPEN,21P,LOST PROPERTY,7/4/2018 8:05,NA,NA,NA,NA,NA,NA,VICTIM,NA,NA,NA,2,Non-fatal,NA,Incident Report,"S Dupre St & Eden St., New Orleans, LA",GERT TOWN,22081
D-03980-18,5,30XX N Miro St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),4/4/2018 4:00,NA,NA,BLACK,MALE,26,1,REPORTING PERSON,BLACK,FEMALE,19,3,Non-fatal,NA,Supplemental Report,"3000 N Miro St., New Orleans, LA",FLORIDA AREA,9424
G-35817-18,7,50XX Lakeview Ct,OPEN,67AR,AUTO THEFT & RECOVERY,7/29/2018 4:40,14 67.26,THEFT OF A MOTOR VEHICLE,NA,NA,NA,1,VICTIM,BLACK,FEMALE,32,1,Non-fatal,NA,Incident Report,"5000 Lakeview Ct., New Orleans, LA",WEST LAKE FOREST,25071
A-06353-18,6,20XX Prytania St,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,1/5/2018 2:00,14 67,THEFT,NA,NA,NA,1,VICTIM,WHITE,FEMALE,NA,1,Non-fatal,NA,Incident Report,"2000 Prytania St., New Orleans, LA",LOWER GARDEN DISTRICT,18708
F-15678-18,1,Bienville St & Basin St,CLOSED,966,DRUG LAW VIOLATION,6/13/2018 17:01,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,54,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"Bienville St & Basin St., New Orleans, LA",MID-CITY,29937
A-36207-18,7,130XX Sevres Ct,CLOSED,17F,FUGITIVE ATTACHMENT,1/31/2018 12:15,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,32,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"13000 Sevres Ct., New Orleans, LA",VILLAGE DE LEST,25445
A-36642-18,4,35XX Garden Oaks Dr 323,OPEN,103D,DISTURBANCE (DOMESTIC),1/31/2018 19:33,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,MALE,26,1,Non-fatal,NA,Incident Report,"3500 Garden Oaks Dr 323., New Orleans, LA",TALL TIMBERS - BRECHTEL,35314
D-32289-18,5,6XX Gallier St,OPEN,67F,THEFT BY FRAUD,4/26/2018 14:00,14 67.16,IDENTITY THEFT,NA,NA,NA,1,VICTIM,WHITE,FEMALE,61,1,Non-fatal,NA,Incident Report,"600 Gallier St., New Orleans, LA",BYWATER,25185
I-25781-18,8,5XX Frenchmen St,CLOSED,966,DRUG LAW VIOLATION,9/21/2018 1:21,54 505,SIMPLE POSSESSION OF MARIJUANA AND/OR SYNTHETIC CANNABINOIDS,BLACK,FEMALE,24,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"500 Frenchmen St., New Orleans, LA",MARIGNY,11334
C-38873-18,2,29XX Hamilton St,OPEN,27-67A,ATTEMPTED AUTO THEFT,3/31/2018 20:25,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,NA,2,VICTIM,NA,NA,NA,2,Non-fatal,NA,Incident Report,"2900 Hamilton St., New Orleans, LA",HOLLYGROVE,11723
D-17512-18,5,22XX N Derbigny St,OPEN,103,DISTURBANCE,4/15/2018 13:12,14 103,DISTURBING THE PEACE,BLACK,FEMALE,NA,1,VICTIM,WHITE,MALE,48,1,Non-fatal,NA,Incident Report,"2200 N Derbigny St., New Orleans, LA",ST. ROCH,32067
I-15338-18,2,34XX General Ogden St,OPEN,56,SIMPLE CRIMINAL DAMAGE,9/13/2018 1:00,54 151,CRIMINAL DAMAGE TO PROPERTY,UNKNOWN,NA,NA,1,VICTIM,HISPANIC,FEMALE,26,1,Non-fatal,NA,Incident Report,"3400 General Ogden St., New Orleans, LA",HOLLYGROVE,11723
G-03748-18,5,33XX Morrice Duncan Dr,OPEN,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),7/4/2018 8:05,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,26,1,VICTIM,BLACK,MALE,45,1,Non-fatal,NA,Incident Report,"3300 Morrice Duncan Dr., New Orleans, LA",DESIRE AREA,17275
G-06327-18,6,13XX S Broad,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,7/5/2018 7:00,NA,NA,NA,NA,NA,1,REPORTING PERSON,UNKNOWN,MALE,51,2,Non-fatal,NA,Incident Report,"1300 S Broad., New Orleans, LA",B. W. COOPER,7821
E-03805-18,7,89XX Gervais St,OPEN,103D,DISTURBANCE (DOMESTIC),5/3/2018 20:00,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,15,4,Non-fatal,NA,Incident Report,"8900 Gervais St., New Orleans, LA",LITTLE WOODS,44947
E-11439-18,1,S Genois St & Gravier St,CLOSED,82,PROSTITUTION,5/9/2018 18:40,54 251,PROSTITUTION,WHITE,FEMALE,33,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"S Genois St & Gravier St., New Orleans, LA",MID-CITY,29937
J-27496-18,6,18XX Saint Thomas St 210,OPEN,66D,THREATS (DOMESTIC),10/20/2018 14:00,14 38,SIMPLE ASSAULT,BLACK,MALE,31,1,VICTIM,BLACK,FEMALE,29,1,Non-fatal,NA,Incident Report,"1800 Saint Thomas St 210., New Orleans, LA",ST. THOMAS DEV,9002
L-08351-18,4,14XX Numa St,OPEN,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),12/7/2018 8:45,14 67,THEFT,BLACK,MALE,22,1,VICTIM,BLACK,MALE,35,1,Non-fatal,NA,Incident Report,"1400 Numa St., New Orleans, LA",BEHRMAN,25562
E-25082-18,5,33XX Pleasure St,OPEN,79,VIOLATION OF PROTECTIVE ORDERS,5/20/2018 13:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,26,1,VICTIM,BLACK,FEMALE,33,1,Non-fatal,NA,Incident Report,"3300 Pleasure St., New Orleans, LA",DESIRE AREA,17275
D-13636-18,8,2XX Loyola Av 204,CLOSED,63,TRESPASSING,4/12/2018 2:25,54 151,CRIMINAL DAMAGE TO PROPERTY,WHITE,MALE,31,1,VICTIM,WHITE,FEMALE,26,1,Non-fatal,NA,Incident Report,"200 Loyola Av 204., New Orleans, LA",CENTRAL BUSINESS DISTRICT,18764
C-33870-18,3,89XX Pear St,OPEN,102,CRUELTY TO ANIMALS,3/27/2018 20:15,NA,NA,NA,NA,NA,1,REPORTING PERSON,WHITE,MALE,22,2,Non-fatal,NA,Incident Report,"8900 Pear St., New Orleans, LA",DIXON,15056
J-33939-18,2,90XX Palm St,OPEN,103D,DISTURBANCE (DOMESTIC),10/26/2018 22:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,30,1,Non-fatal,NA,Incident Report,"9000 Palm St., New Orleans, LA",HOLLYGROVE,11723
L-03325-18,6,13XX Jackson St,OPEN,103D,DISTURBANCE (DOMESTIC),12/3/2018 18:22,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,33,1,Non-fatal,NA,Incident Report,"1300 Jackson St., New Orleans, LA",LOWER GARDEN DISTRICT,18708
E-38520-18,5,47XX N Rampart St,OPEN,103D,DISTURBANCE (DOMESTIC),5/30/2018 23:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,WHITE,FEMALE,35,1,Non-fatal,NA,Incident Report,"4700 N Rampart St., New Orleans, LA",HOLY CROSS,12942
G-27585-18,1,11XX N Johnson St,OPEN,56,SIMPLE CRIMINAL DAMAGE,7/22/2018 15:30,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,NA,NA,NA,1,VICTIM,WHITE,FEMALE,36,1,Non-fatal,NA,Incident Report,"1100 N Johnson St., New Orleans, LA",TREME - LAFITTE,18492
H-12917-18,7,72XX Bunker Hill Rd,CLOSED,24,MEDICAL,8/11/2018 0:29,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,MALE,15,4,Non-fatal,NA,Supplemental Report,"7200 Bunker Hill Rd., New Orleans, LA",LITTLE WOODS,44947
L-13857-18,1,6XX N Rampart St,OPEN,21,MISCELLANEOUS INCIDENT,12/11/2018 14:15,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,NA,1,Non-fatal,NA,Incident Report,"600 N Rampart St., New Orleans, LA",FRENCH QUARTER,15172
K-09000-18,4,42XX Woodland Dr,CLOSED,21,MISCELLANEOUS INCIDENT,11/7/2018 18:00,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,48,1,Non-fatal,NA,Incident Report,"4200 Woodland Dr., New Orleans, LA",OLD AURORA,40130
C-17057-18,5,20XX Clouet St,OPEN,103,DISTURBANCE,3/14/2018 16:00,14 103,DISTURBING THE PEACE,BLACK,MALE,NA,3,VICTIM,BLACK,MALE,31,1,Non-fatal,NA,Incident Report,"2000 Clouet St., New Orleans, LA",ST. CLAUDE,18616
L-11499-18,7,76XX Rochon,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),12/9/2018 18:30,14 34.9,BATTERY OF A DATING PARTNER,BLACK,MALE,21,1,VICTIM,BLACK,FEMALE,19,1,Non-fatal,NA,Supplemental Report,"7600 Rochon., New Orleans, LA",LITTLE WOODS,44947
B-13228-18,8,Saint Charles Av & Julia St,OPEN,21,MISCELLANEOUS INCIDENT,2/11/2018 18:23,NA,NA,NA,NA,NA,NA,WITNESS,WHITE,MALE,NA,1,Non-fatal,NA,Incident Report,"Saint Charles Av & Julia St., New Orleans, LA",MILAN,21588
B-27189-18,1,7XX S Broad St,OPEN,542,SEX OFFENDER COMPLIANCE CHECK,2/22/2018 17:00,NA,NA,NA,NA,NA,NA,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"700 S Broad St., New Orleans, LA",TULANE - GRAVIER,17445
G-17213-18,5,23XX Saint Claude Av,CLOSED,63,TRESPASSING,7/14/2018 10:00,54 153,CRIMINAL TRESPASS,BLACK,MALE,54,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"2300 Saint Claude Av., New Orleans, LA",MARIGNY,11334
